
2025/03/25 (18:53:34) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/03/25 (18:53:34) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/03/25 (18:53:34) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/25 (18:53:34) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/25 (18:53:34) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/03/25 (18:53:34) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/03/25 (18:53:34) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2025/03/25 (18:53:34) | DEBUG: Shared::init() : Initialized.
2025/03/25 (18:53:34) | DEBUG: Loading theme file: /usr/share/btop/themes/adapta.theme
2025/03/25 (18:53:36) | WARNING: Failed to join _runner thread on exit!
2025/03/25 (18:53:36) | INFO: Quitting! Runtime: 00:00:02

2025/03/25 (18:53:45) | ===> btop++ v.1.4.0
2025/03/25 (18:53:45) | INFO: Logger set to DEBUG
2025/03/25 (18:53:45) | DEBUG: Using locale C.UTF-8
2025/03/25 (18:53:45) | INFO: Running on /dev/tty2
2025/03/25 (18:53:45) | INFO: Real tty detected: setting 16 color mode and using tty friendly graph symbols
2025/03/25 (18:53:45) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/03/25 (18:53:45) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/25 (18:53:45) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/03/25 (18:53:45) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/03/25 (18:53:45) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/25 (18:53:45) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/25 (18:53:45) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/03/25 (18:53:45) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/03/25 (18:53:45) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2025/03/25 (18:53:45) | DEBUG: Shared::init() : Initialized.

2025/03/25 (18:53:45) | ===> btop++ v.1.4.0
2025/03/25 (18:53:45) | INFO: Logger set to DEBUG
2025/03/25 (18:53:45) | DEBUG: Using locale C.UTF-8
2025/03/25 (18:53:45) | INFO: Running on /dev/tty2
2025/03/25 (18:53:45) | INFO: Real tty detected: setting 16 color mode and using tty friendly graph symbols
